method,full_graph,gpu,experiment,stage,mask_size,mask_fraction,mse,mae,mdae,rmse,time,inference_time
knn,True,False,maintenance,test,2,0.01,0.003911161795258522,0.02592150866985321,nan,0.06253927946090698,2.9150283336639404,
knn,True,False,maintenance,test,7,0.01,0.0007531851879321039,0.012575606815516949,nan,0.02744421921670437,2.8366458415985107,
knn,True,False,maintenance,test,14,0.01,0.0016333096427842975,0.020383812487125397,nan,0.040414225310087204,2.912621021270752,
linear,False,False,random,train,0.01,nan,0.00349165010266006,0.03270787000656128,nan,0.05909018591046333,0.08013415336608887,
linear,False,False,random,train,0.02,nan,0.0035488458815962076,0.03299558907747269,nan,0.059572190046310425,0.07430505752563477,
linear,False,False,random,train,0.05,nan,0.003608542028814554,0.03344316780567169,nan,0.06007114052772522,0.08127284049987793,
linear,False,False,random,train,0.1,nan,0.003786897985264659,0.03423624858260155,nan,0.06153777614235878,0.08286881446838379,
linear,False,False,random,val,0.01,nan,0.001776294782757759,0.022508366033434868,nan,0.04214611276984215,0.03733181953430176,
linear,False,False,random,val,0.02,nan,0.0016628537559881806,0.021914981305599213,nan,0.04077810421586037,0.023487091064453125,
linear,False,False,random,val,0.05,nan,0.0016262243734672666,0.0218808576464653,nan,0.040326472371816635,0.025513648986816406,
linear,False,False,random,val,0.1,nan,0.0017269899835810065,0.022275561466813087,nan,0.04155706986784935,0.03211021423339844,
linear,False,False,random,test,0.01,nan,0.0009457459091208875,0.013721703551709652,nan,0.030752982944250107,0.01399540901184082,
linear,False,False,random,test,0.02,nan,0.0011506570735946298,0.014674553647637367,nan,0.03392133489251137,0.013936758041381836,
linear,False,False,random,test,0.05,nan,0.0010984557447955012,0.014259173534810543,nan,0.03314295783638954,0.014385700225830078,
linear,False,False,random,test,0.1,nan,0.0011302689090371132,0.014669529162347317,nan,0.0336194708943367,0.014740943908691406,
linear,False,False,blackout,train,30,0.01,0.006059122737497091,0.044501058757305145,nan,0.07784036546945572,0.08127427101135254,
linear,False,False,blackout,train,60,0.01,0.010189984925091267,0.055213168263435364,nan,0.10094545781612396,0.08303236961364746,
linear,False,False,blackout,train,150,0.01,0.01712166890501976,0.07974667102098465,nan,0.13084979355335236,0.08397436141967773,
linear,False,False,blackout,train,300,0.01,0.02771264873445034,0.10702142864465714,nan,0.16647116839885712,0.08286070823669434,
linear,False,False,blackout,val,30,0.01,0.0025306541938334703,0.02790585719048977,nan,0.05030560865998268,0.023787975311279297,
linear,False,False,blackout,val,60,0.01,0.00394788570702076,0.036661505699157715,nan,0.06283220648765564,0.029929637908935547,
linear,False,False,blackout,val,150,0.01,0.012604308314621449,0.06668122112751007,nan,0.11226890981197357,0.03208518028259277,
linear,False,False,blackout,val,300,0.01,0.019611826166510582,0.09424493461847305,nan,0.1400422304868698,0.028708457946777344,
linear,False,False,blackout,test,30,0.01,0.0012796655064448714,0.017034796997904778,nan,0.0357724130153656,0.01525115966796875,
linear,False,False,blackout,test,60,0.01,0.002737318864092231,0.02684577740728855,nan,0.05231939256191254,0.01369476318359375,
linear,False,False,blackout,test,150,0.01,0.007339301519095898,0.041523613035678864,nan,0.08566972613334656,0.013315200805664062,
linear,False,False,blackout,test,300,0.01,0.007557660806924105,0.04831681400537491,nan,0.08693480491638184,0.015149831771850586,
linear,False,False,maintenance,train,1,0.01,0.05999856814742088,0.17983081936836243,nan,0.24494604766368866,0.09128761291503906,
linear,False,False,maintenance,train,2,0.01,0.11318053305149078,0.2508905827999115,nan,0.3364231586456299,0.0745387077331543,
linear,False,False,maintenance,train,7,0.01,0.13830654323101044,0.28828975558280945,nan,0.3718958795070648,0.08707976341247559,
linear,False,False,maintenance,train,14,0.01,0.12679354846477509,0.29942333698272705,nan,0.3560808300971985,0.08510017395019531,
linear,False,False,maintenance,val,1,0.01,0.05563722550868988,0.1633707731962204,nan,0.2358754426240921,0.02322101593017578,
linear,False,False,maintenance,val,2,0.01,0.11103416234254837,0.23702524602413177,nan,0.33321788907051086,0.028112173080444336,
linear,False,False,maintenance,val,7,0.01,0.07528451830148697,0.2272246927022934,nan,0.27438023686408997,0.028307199478149414,
linear,False,False,maintenance,val,14,0.01,nan,nan,nan,nan,0.023538589477539062,
linear,False,False,maintenance,test,1,0.01,0.01301509514451027,0.06788484752178192,nan,0.11408372223377228,0.015248537063598633,
linear,False,False,maintenance,test,2,0.01,0.004126734100282192,0.052144598215818405,nan,0.06423965841531754,0.014522552490234375,
linear,False,False,maintenance,test,7,0.01,nan,nan,nan,nan,0.015787363052368164,
linear,False,False,maintenance,test,14,0.01,nan,nan,nan,nan,0.014359474182128906,
knn,False,False,random,train,0.01,nan,0.007669189944863319,0.04213070496916771,nan,0.08757390826940536,2.5991642475128174,
knn,False,False,random,train,0.02,nan,0.0073060267604887486,0.04131431132555008,nan,0.08547529578208923,4.437418699264526,
knn,False,False,random,train,0.05,nan,0.007338338065892458,0.04120982438325882,nan,0.08566410094499588,10.29090404510498,
knn,False,False,random,train,0.1,nan,0.007029582746326923,0.04099378362298012,nan,0.08384260535240173,20.018139839172363,
knn,False,False,random,val,0.01,nan,0.006702912971377373,0.036290984600782394,nan,0.08187132328748703,0.9141845703125,
knn,False,False,random,val,0.02,nan,0.007227784022688866,0.038168132305145264,nan,0.08501637727022171,1.5409562587738037,
knn,False,False,random,val,0.05,nan,0.005929775070399046,0.035306405276060104,nan,0.07700503617525101,3.2039732933044434,
knn,False,False,random,val,0.1,nan,0.005939179565757513,0.035639289766550064,nan,0.07706607133150101,5.860767126083374,
knn,False,False,random,test,0.01,nan,0.004497668240219355,0.025420567020773888,nan,0.06706465780735016,0.336475133895874,
knn,False,False,random,test,0.02,nan,0.003764841705560684,0.024409053847193718,nan,0.06135830655694008,0.6024744510650635,
knn,False,False,random,test,0.05,nan,0.004399831406772137,0.025370057672262192,nan,0.06633122265338898,1.4687249660491943,
knn,False,False,random,test,0.1,nan,0.004518544767051935,0.02540460228919983,nan,0.06722012162208557,2.8239243030548096,
knn,False,False,blackout,train,30,0.01,0.007870710454881191,0.04225628823041916,nan,0.088717021048069,2.3769044876098633,
knn,False,False,blackout,train,60,0.01,0.005548826884478331,0.03726775199174881,nan,0.07449045032262802,2.399712085723877,
knn,False,False,blackout,train,150,0.01,0.006158837582916021,0.040529388934373856,nan,0.07847826182842255,2.408906936645508,
knn,False,False,blackout,train,300,0.01,0.004141385667026043,0.034774258732795715,nan,0.06435360014438629,2.441628932952881,
knn,False,False,blackout,val,30,0.01,0.006319078151136637,0.034002020955085754,nan,0.07949262857437134,0.9211337566375732,
knn,False,False,blackout,val,60,0.01,0.004646340385079384,0.033017031848430634,nan,0.06816407293081284,0.9198276996612549,
knn,False,False,blackout,val,150,0.01,0.006465648766607046,0.03348272666335106,nan,0.08040925860404968,0.9237582683563232,
knn,False,False,blackout,val,300,0.01,0.01043248176574707,0.04374109208583832,nan,0.10213951766490936,0.9275672435760498,
knn,False,False,blackout,test,30,0.01,0.0034159906208515167,0.023829739540815353,nan,0.058446478098630905,0.33321285247802734,
knn,False,False,blackout,test,60,0.01,0.0025883298367261887,0.022465160116553307,nan,0.05087563022971153,0.3226664066314697,
knn,False,False,blackout,test,150,0.01,0.004417695105075836,0.028763001784682274,nan,0.06646574288606644,0.326829195022583,
knn,False,False,blackout,test,300,0.01,0.006304667331278324,0.03695874661207199,nan,0.07940193265676498,0.3253042697906494,
knn,False,False,maintenance,train,1,0.01,0.004190958570688963,0.036935437470674515,nan,0.06473761051893234,2.38981556892395,
knn,False,False,maintenance,train,2,0.01,0.004014675971120596,0.03354518488049507,nan,0.06336147338151932,2.4518654346466064,
knn,False,False,maintenance,train,7,0.01,0.004713601898401976,0.04067530855536461,nan,0.06865567713975906,2.110034227371216,
knn,False,False,maintenance,train,14,0.01,0.0049171228893101215,0.03522823750972748,nan,0.07012219727039337,1.5575640201568604,
knn,False,False,maintenance,val,1,0.01,0.020836368203163147,0.08367655426263809,nan,0.14434808492660522,0.9441657066345215,
knn,False,False,maintenance,val,2,0.01,0.004331232979893684,0.035110119730234146,nan,0.06581210345029831,0.8307609558105469,
knn,False,False,maintenance,val,7,0.01,0.0023317981977015734,0.028127534314990044,nan,0.04828869551420212,0.9321002960205078,
knn,False,False,maintenance,val,14,0.01,nan,nan,nan,nan,0.3532838821411133,
knn,False,False,maintenance,test,1,0.01,0.0028454039711505175,0.027079567313194275,nan,0.05334232747554779,0.2735879421234131,
knn,False,False,maintenance,test,2,0.01,0.0006615506717935205,0.013158198446035385,nan,0.0257206279784441,0.1928560733795166,
knn,False,False,maintenance,test,7,0.01,nan,nan,nan,nan,0.03247857093811035,
knn,False,False,maintenance,test,14,0.01,nan,nan,nan,nan,0.03560233116149902,
tikhonov,True,True,random,train,0.01,nan,1.133321762084961,0.8498069047927856,0.7172465920448303,1.0645759105682373,5.662095785140991,
tikhonov,True,True,random,train,0.02,nan,1.127193570137024,0.8456340432167053,0.7095093727111816,1.0616936683654785,3.830810546875,
tikhonov,True,True,random,train,0.05,nan,1.1299513578414917,0.846859335899353,0.7143149971961975,1.062991738319397,3.154897928237915,
tikhonov,True,True,random,train,0.1,nan,1.1300969123840332,0.8478096127510071,0.7163910865783691,1.0630601644515991,3.4616634845733643,
tikhonov,True,True,random,val,0.01,nan,1.1194918155670166,0.8453341126441956,0.7208690047264099,1.0580604076385498,0.3560769557952881,
tikhonov,True,True,random,val,0.02,nan,1.1189215183258057,0.8424186110496521,0.7099857330322266,1.0577908754348755,0.3725912570953369,
tikhonov,True,True,random,val,0.05,nan,1.1313329935073853,0.8492391109466553,0.7197738289833069,1.0636413097381592,0.3735318183898926,
tikhonov,True,True,random,val,0.1,nan,1.1265894174575806,0.8463900089263916,0.7129316329956055,1.0614092350006104,0.511307954788208,
tikhonov,True,True,random,test,0.01,nan,1.1033881902694702,0.8326711058616638,0.6867837309837341,1.0504229068756104,0.12597250938415527,
tikhonov,True,True,random,test,0.02,nan,1.0723673105239868,0.8279464840888977,0.7081823348999023,1.0355517864227295,0.12247467041015625,
tikhonov,True,True,random,test,0.05,nan,1.0639703273773193,0.8212594985961914,0.6871883869171143,1.031489372253418,0.1717243194580078,
tikhonov,True,True,random,test,0.1,nan,1.0883227586746216,0.8311306238174438,0.7019736766815186,1.0432270765304565,0.1641242504119873,
tikhonov,True,True,blackout,train,30,0.01,1.124302864074707,0.8472325205802917,0.7163543701171875,1.0603314638137817,4.832360506057739,
tikhonov,True,True,blackout,train,60,0.01,1.1283866167068481,0.8468818664550781,0.7140494585037231,1.0622553825378418,5.773664474487305,
tikhonov,True,True,blackout,train,150,0.01,1.1261528730392456,0.8479522466659546,0.7174562215805054,1.0612035989761353,4.14805793762207,
tikhonov,True,True,blackout,train,300,0.01,1.1226284503936768,0.8449425101280212,0.7120335102081299,1.0595415830612183,4.698120594024658,
tikhonov,True,True,blackout,val,30,0.01,1.1347591876983643,0.8524078130722046,0.7278465032577515,1.0652508735656738,0.4779469966888428,
